Kinase,Z,method,AvgZ
STE7,-4.34,710230602>0.15,-3.7725
PLK,-3.43,710230602>0.15,-3.14
NMO,-3.34,710230602>0.15,-3.5308333333333333
ERK,-3.12,710230602>0.15,-3.4416666666666664
DYRK,-3,710230602>0.15,-3.549166666666667
AKT,2.97,710230602>0.15,2.9758333333333336
PKA,2.67,710230602>0.15,3.0425
JNK,-2.41,710230602>0.15,-2.9850000000000003
PRKDC,-2.34,710230602>0.15,-1.9041666666666666
RSK,2.27,710230602>0.15,2.3758333333333335
PHK,2.12,710230602>0.15,1.455
P38,-2.07,710230602>0.15,-2.46
PDK1,-2.06,710230602>0.15,-2.151666666666667
MAPKAPK,2,710230602>0.15,1.84
STE11,-1.95,710230602>0.15,-2.3375
ATR,-1.95,710230602>0.15,-0.9333333333333333
CK1,-1.95,710230602>0.15,-1.72
RAD53,1.82,710230602>0.15,2.7816666666666667
SGK,1.72,710230602>0.15,1.4525
IRAK,-1.64,710230602>0.15,-1.2908333333333333
PKCH,1.59,710230602>0.15,1.3641666666666667
LKB,-1.58,710230602>0.15,-1.86
DMPK,1.53,710230602>0.15,2.399166666666667
PAKB,1.51,710230602>0.15,1.1758333333333333
MST,-1.5,710230602>0.15,-1.6691666666666667
TLK,-1.45,710230602>0.15,-1.46
PAKA,1.43,710230602>0.15,2.4325
CDK,-1.42,710230602>0.15,-2.0166666666666666
CHK1,-1.41,710230602>0.15,-0.4516666666666667
TTK,-1.36,710230602>0.15,-1.4775
NAK,-1.35,710230602>0.15,-1.4675
NUAK,-1.34,710230602>0.15,-1.4425000000000001
PKD,1.32,710230602>0.15,1.4833333333333334
RAF,-1.23,710230602>0.15,-0.4741666666666667
RIPK,1.2,710230602>0.15,0.43499999999999994
PEK,-1.18,710230602>0.15,-1.4733333333333334
PKG,1.16,710230602>0.15,2.1758333333333333
TAO,1.06,710230602>0.15,0.8116666666666666
CLK,-1.05,710230602>0.15,-1.0425
MTOR,-1.04,710230602>0.15,-1.44
WNK,1.01,710230602>0.15,1.0066666666666666
MOS,1.01,710230602>0.15,0.8258333333333333
KHS,1.01,710230602>0.15,1.0008333333333335
BUD32,-1,710230602>0.15,-1.0475
NIK,-1,710230602>0.15,-1.0291666666666666
AUR,0.99,710230602>0.15,0.5325
CAMKK,-0.98,710230602>0.15,-1.0366666666666666
PASK,0.98,710230602>0.15,0.31083333333333335
BRSK,-0.98,710230602>0.15,-1.0316666666666667
SLK,-0.97,710230602>0.15,-1.0283333333333333
ULK,-0.96,710230602>0.15,-1.0483333333333333
ATM,-0.96,710230602>0.15,-1.1691666666666667
AMPK,0.96,710230602>0.15,1.6991666666666667
PKCI,0.94,710230602>0.15,1.5516666666666667
PKCD,0.92,710230602>0.15,0.9825
PIM,0.9,710230602>0.15,1.8316666666666666
PKCA,0.89,710230602>0.15,1.2766666666666666
