Kinase,Z,method,AvgZ
DYRK,-3.75,710230602>0.15,-3.3225
PAKA,3.26,710230602>0.15,2.4983333333333335
PKA,3.17,710230602>0.15,2.8016666666666667
NMO,-3.17,710230602>0.15,-2.720833333333333
JNK,-3.09,710230602>0.15,-2.9683333333333333
RAD53,2.88,710230602>0.15,2.4116666666666666
PKG,2.83,710230602>0.15,2.416666666666667
ERK,-2.75,710230602>0.15,-3.0258333333333334
PKCA,2.68,710230602>0.15,1.8033333333333332
STE7,-2.48,710230602>0.15,-2.0541666666666667
STE11,-2.43,710230602>0.15,-1.6941666666666666
PKCI,2.36,710230602>0.15,1.675
P38,-2.32,710230602>0.15,-2.2133333333333334
DMPK,2.32,710230602>0.15,2.56
PDK1,-2.07,710230602>0.15,-2.17
MAPKAPK,2,710230602>0.15,1.7841666666666667
ATM,-1.94,710230602>0.15,-1.1683333333333334
GSK,-1.84,710230602>0.15,-1.5658333333333334
MARK,1.81,710230602>0.15,1.4791666666666667
RIPK,1.81,710230602>0.15,1.0216666666666667
PIM,1.74,710230602>0.15,2.0225
PLK,-1.71,710230602>0.15,-1.9749999999999999
PKCD,1.65,710230602>0.15,1.045
RSK,1.55,710230602>0.15,2.1691666666666665
PKN,1.48,710230602>0.15,1.355
PAKB,1.48,710230602>0.15,0.7183333333333334
NDR,1.46,710230602>0.15,0.9008333333333334
AKT,1.45,710230602>0.15,1.5025
CAMK1,1.44,710230602>0.15,0.62
LKB,-1.41,710230602>0.15,-1.585
NAK,-1.35,710230602>0.15,-1.13
TTK,-1.35,710230602>0.15,-1.1308333333333334
NUAK,-1.34,710230602>0.15,-1.1283333333333334
CDK,-1.34,710230602>0.15,-1.4483333333333335
CK2,-1.34,710230602>0.15,-1.1241666666666668
PKD,1.32,710230602>0.15,1.41
TLK,-1.3,710230602>0.15,-1.1275
ATR,-1.3,710230602>0.15,-0.15333333333333332
MST,-1.3,710230602>0.15,-1.1841666666666666
PKCH,1.26,710230602>0.15,0.8608333333333333
MLK,1.25,710230602>0.15,-0.03166666666666666
PDHK,1.25,710230602>0.15,0.49
MTOR,-1.23,710230602>0.15,-1.3183333333333334
COT,-1.19,710230602>0.15,-0.5508333333333333
DAPK,1.19,710230602>0.15,0.3441666666666667
SGK,1.17,710230602>0.15,1.0708333333333333
AMPK,1.17,710230602>0.15,2.0633333333333335
PEK,-1.15,710230602>0.15,-1.0283333333333333
MELK,1.12,710230602>0.15,0.3358333333333334
AUR,1.1,710230602>0.15,0.8883333333333333
KHS,1.05,710230602>0.15,0.5591666666666667
PASK,1.04,710230602>0.15,0.3958333333333333
TAO,1.04,710230602>0.15,0.6391666666666667
MOS,1.04,710230602>0.15,0.7474999999999999
PRKDC,-1.01,710230602>0.15,-0.8866666666666667
CLK,-0.98,710230602>0.15,-0.7975
NIK,-0.98,710230602>0.15,-0.8108333333333333
CAMKK,-0.97,710230602>0.15,-0.795
WNK,-0.96,710230602>0.15,0.25999999999999995
SLK,-0.95,710230602>0.15,-0.7958333333333334
BRSK,-0.95,710230602>0.15,-0.7916666666666666
ULK,-0.94,710230602>0.15,-0.7933333333333333
BUD32,-0.91,710230602>0.15,-0.7908333333333334
IKK,-0.9,710230602>0.15,-0.8675
BARK2,0.68,710230602>0.15,-0.09416666666666662
RAF,-0.62,710230602>0.15,-0.015833333333333366
QIK,-0.6,710230602>0.15,-0.6466666666666666
VRK1,0.6,710230602>0.15,0.08333333333333337
CK1,-0.58,710230602>0.15,-0.785
MLCK,0.57,710230602>0.15,-0.15666666666666665
CHK1,0.5,710230602>0.15,0.05916666666666669
PHK,0.38,710230602>0.15,1.01
IRAK,-0.37,710230602>0.15,-1.19
STKR,-0.29,710230602>0.15,-0.5416666666666667
FRAY,-0.25,710230602>0.15,-0.3425
GRK,0.24,710230602>0.15,-0.31166666666666665
MSN,0.14,710230602>0.15,0.1725
HAL,0.07,710230602>0.15,0.22416666666666665
NEK,0.02,710230602>0.15,-0.4308333333333333
CAMK2,-0.01,710230602>0.15,-0.47333333333333333
JNK,-3.67,710230602>0.2,-2.9683333333333333
DYRK,-3.26,710230602>0.2,-3.3225
NMO,-3.02,710230602>0.2,-2.720833333333333
PKA,2.76,710230602>0.2,2.8016666666666667
P38,-2.66,710230602>0.2,-2.2133333333333334
PKG,2.6,710230602>0.2,2.416666666666667
ERK,-2.52,710230602>0.2,-3.0258333333333334
STE7,-2.5,710230602>0.2,-2.0541666666666667
PDK1,-2.47,710230602>0.2,-2.17
PKCA,2.27,710230602>0.2,1.8033333333333332
PAKA,2.24,710230602>0.2,2.4983333333333335
MST,-2.18,710230602>0.2,-1.1841666666666666
PLK,-2.13,710230602>0.2,-1.9749999999999999
STE11,-2.12,710230602>0.2,-1.6941666666666666
MAPKAPK,2,710230602>0.2,1.7841666666666667
RAD53,1.95,710230602>0.2,2.4116666666666666
COT,-1.92,710230602>0.2,-0.5508333333333333
PEK,-1.82,710230602>0.2,-1.0283333333333333
ATM,-1.78,710230602>0.2,-1.1683333333333334
PIM,1.77,710230602>0.2,2.0225
RIPK,1.76,710230602>0.2,1.0216666666666667
IKK,-1.75,710230602>0.2,-0.8675
NDR,1.72,710230602>0.2,0.9008333333333334
DMPK,1.65,710230602>0.2,2.56
CDK,-1.58,710230602>0.2,-1.4483333333333335
PKN,1.52,710230602>0.2,1.355
PKCI,1.47,710230602>0.2,1.675
GSK,-1.44,710230602>0.2,-1.5658333333333334
RSK,1.42,710230602>0.2,2.1691666666666665
PKCD,1.35,710230602>0.2,1.045
NUAK,-1.25,710230602>0.2,-1.1283333333333334
MARK,1.22,710230602>0.2,1.4791666666666667
MTOR,-1.21,710230602>0.2,-1.3183333333333334
TLK,-1.21,710230602>0.2,-1.1275
NAK,-1.21,710230602>0.2,-1.13
PASK,1.2,710230602>0.2,0.3958333333333333
TTK,-1.19,710230602>0.2,-1.1308333333333334
TAO,1.16,710230602>0.2,0.6391666666666667
MOS,1.16,710230602>0.2,0.7474999999999999
LKB,-1.14,710230602>0.2,-1.585
RAF,-1.13,710230602>0.2,-0.015833333333333366
CK2,-1,710230602>0.2,-1.1241666666666668
QIK,-0.94,710230602>0.2,-0.6466666666666666
ATR,-0.91,710230602>0.2,-0.15333333333333332
KHS,-0.9,710230602>0.2,0.5591666666666667
NIK,-0.89,710230602>0.2,-0.8108333333333333
CLK,-0.89,710230602>0.2,-0.7975
BUD32,-0.88,710230602>0.2,-0.7908333333333334
WNK,-0.88,710230602>0.2,0.25999999999999995
BRSK,-0.86,710230602>0.2,-0.7916666666666666
ULK,-0.86,710230602>0.2,-0.7933333333333333
SLK,-0.86,710230602>0.2,-0.7958333333333334
