Kinase,Z,method,AvgZ
DYRK,-5.35,710230602>0.15,-2.8074999999999997
JNK,-4.85,710230602>0.15,-2.2266666666666666
ERK,-4.79,710230602>0.15,-2.5425
PKA,4.64,710230602>0.15,2.9091666666666667
PKG,4.42,710230602>0.15,2.3358333333333334
P38,-3.84,710230602>0.15,-2.1175
AKT,3.7,710230602>0.15,2.39
STE7,-3.63,710230602>0.15,-1.8108333333333333
RSK,3.62,710230602>0.15,1.8425
PAKA,3.48,710230602>0.15,2.5324999999999998
PDK1,-3.38,710230602>0.15,-1.22
NMO,-3.34,710230602>0.15,-2.3925
PLK,-3.08,710230602>0.15,-1.7925
PKCI,2.83,710230602>0.15,1.3833333333333333
MST,-2.82,710230602>0.15,-1.2241666666666666
PKCA,2.8,710230602>0.15,0.9958333333333333
AMPK,2.77,710230602>0.15,1.4691666666666667
DMPK,2.69,710230602>0.15,1.7666666666666666
SGK,2.56,710230602>0.15,1.2616666666666667
CDK,-2.55,710230602>0.15,-1.1491666666666667
GSK,-2.52,710230602>0.15,-0.9708333333333333
LKB,-2.21,710230602>0.15,-1.3016666666666667
RAD53,2.21,710230602>0.15,1.5474999999999999
STE11,-1.95,710230602>0.15,-1.4816666666666667
MTOR,-1.9,710230602>0.15,-0.8683333333333333
PHK,1.76,710230602>0.15,1.1866666666666668
PRKDC,-1.75,710230602>0.15,-1.4641666666666666
PKD,1.69,710230602>0.15,1.0025
MARK,1.67,710230602>0.15,1.2666666666666666
CAMK1,1.67,710230602>0.15,0.6633333333333333
MAPKAPK,1.65,710230602>0.15,1.0416666666666665
CK1,-1.59,710230602>0.15,-0.6608333333333334
RIPK,1.57,710230602>0.15,1.0091666666666668
PIM,1.55,710230602>0.15,0.9533333333333334
PAKB,1.51,710230602>0.15,0.7816666666666666
TLK,-1.45,710230602>0.15,-1.0016666666666667
PKN,1.41,710230602>0.15,0.9816666666666667
NDR,1.38,710230602>0.15,0.3808333333333333
ATR,-1.38,710230602>0.15,-0.8775
VRK1,-1.38,710230602>0.15,-0.7066666666666667
TTK,-1.36,710230602>0.15,-0.9775
NAK,-1.35,710230602>0.15,-0.9875
NUAK,-1.34,710230602>0.15,-0.9691666666666667
NEK,-1.13,710230602>0.15,-0.41583333333333333
IRAK,-1.09,710230602>0.15,-0.43083333333333335
PKCH,1.06,710230602>0.15,0.66
TAO,1.06,710230602>0.15,0.9158333333333334
CLK,-1.05,710230602>0.15,-0.7016666666666667
MOS,1.01,710230602>0.15,0.4999999999999999
KHS,1.01,710230602>0.15,1.4283333333333332
BUD32,-1,710230602>0.15,-0.6941666666666667
NIK,-1,710230602>0.15,-0.6958333333333333
AUR,0.99,710230602>0.15,-0.06999999999999997
WNK,-0.99,710230602>0.15,-0.305
CAMKK,-0.98,710230602>0.15,-0.6816666666666666
PASK,0.98,710230602>0.15,0.6900000000000001
BRSK,-0.98,710230602>0.15,-0.6908333333333333
SLK,-0.97,710230602>0.15,-0.6958333333333333
FRAY,-0.96,710230602>0.15,-0.30000000000000004
ULK,-0.96,710230602>0.15,-0.6891666666666667
ATM,-0.96,710230602>0.15,-0.9666666666666667
PKCD,0.92,710230602>0.15,0.09500000000000008
PEK,-0.81,710230602>0.15,-0.24000000000000002
RAF,-0.79,710230602>0.15,-0.8366666666666667
PDHK,0.75,710230602>0.15,0.8558333333333334
CK2,-0.69,710230602>0.15,-0.7050000000000001
BARK2,0.59,710230602>0.15,0.6325
MLK,-0.48,710230602>0.15,-0.36083333333333334
MLCK,0.48,710230602>0.15,0.62
MELK,0.47,710230602>0.15,0.8191666666666667
COT,-0.47,710230602>0.15,-0.5700000000000001
DAPK,0.45,710230602>0.15,0.23666666666666666
STKR,-0.37,710230602>0.15,-0.24916666666666665
CAMK2,0.3,710230602>0.15,-0.05833333333333332
