Kinase,Z,method,AvgZ
NMO,-3.59,710230602>0.15,-2.8433333333333333
DYRK,-3.46,710230602>0.15,-2.8608333333333333
ERK,-2.94,710230602>0.15,-1.8916666666666666
DMPK,2.9,710230602>0.15,2.195
STE7,-2.86,710230602>0.15,-2.495
PLK,-2.83,710230602>0.15,-2.005
RAD53,2.74,710230602>0.15,1.6533333333333333
PKA,2.69,710230602>0.15,1.9466666666666665
JNK,-2.69,710230602>0.15,-1.7958333333333334
RSK,2.5,710230602>0.15,1.3216666666666668
PAKA,2.35,710230602>0.15,2.0233333333333334
P38,-2.12,710230602>0.15,-1.535
STE11,-2.1,710230602>0.15,-1.5041666666666667
AKT,2.04,710230602>0.15,2.0633333333333335
PKG,1.81,710230602>0.15,1.9675
CDK,-1.79,710230602>0.15,-1.4175
PIM,1.76,710230602>0.15,1.5191666666666668
MST,-1.73,710230602>0.15,-1.2291666666666667
LKB,-1.68,710230602>0.15,-1.5358333333333334
QIK,-1.61,710230602>0.15,-1.0533333333333335
CK1,-1.61,710230602>0.15,-0.49000000000000005
CK2,-1.58,710230602>0.15,-1.5308333333333333
SGK,1.57,710230602>0.15,1.6291666666666667
AMPK,1.56,710230602>0.15,2.34
MARK,1.51,710230602>0.15,2.2083333333333335
TLK,-1.5,710230602>0.15,-1.1733333333333333
TTK,-1.48,710230602>0.15,-1.1891666666666667
PKCH,1.48,710230602>0.15,0.9966666666666667
NAK,-1.45,710230602>0.15,-1.1875
NUAK,-1.45,710230602>0.15,-1.165
PKCI,1.44,710230602>0.15,1.4475
IKK,-1.39,710230602>0.15,-0.3675
PKN,1.37,710230602>0.15,1.0008333333333332
PAKB,1.35,710230602>0.15,1.7791666666666668
PRKDC,-1.29,710230602>0.15,-1.7908333333333333
MAPKAPK,1.27,710230602>0.15,1.8591666666666666
PDK1,-1.24,710230602>0.15,-1.3858333333333333
IRAK,-1.23,710230602>0.15,-1.1766666666666667
PEK,-1.17,710230602>0.15,-1.0733333333333333
PKCA,1.11,710230602>0.15,0.7616666666666667
ATM,-1.09,710230602>0.15,-1.065
PASK,-1.07,710230602>0.15,-0.15166666666666667
CLK,-1.05,710230602>0.15,-0.8258333333333333
ULK,-1.04,710230602>0.15,-0.8166666666666667
NIK,-1.04,710230602>0.15,-0.81
BUD32,-1.04,710230602>0.15,-0.8225
CAMKK,-1.03,710230602>0.15,-0.8291666666666667
SLK,-1.02,710230602>0.15,-0.8216666666666667
PKD,1.01,710230602>0.15,1.3258333333333334
TAO,0.99,710230602>0.15,1.2791666666666668
BRSK,-0.99,710230602>0.15,-0.8175
MOS,0.98,710230602>0.15,1.075
PDHK,0.98,710230602>0.15,0.44
KHS,0.97,710230602>0.15,1.2816666666666667
WNK,0.96,710230602>0.15,0.3633333333333333
MSN,0.95,710230602>0.15,0.435
NEK,-0.91,710230602>0.15,-0.7025
MTOR,-0.91,710230602>0.15,-1.1425
GSK,-0.84,710230602>0.15,-1.0675
FRAY,0.83,710230602>0.15,-0.22666666666666668
GRK,-0.75,710230602>0.15,-0.16666666666666669
DAPK,-0.65,710230602>0.15,-0.42
BARK2,-0.64,710230602>0.15,0.2808333333333333
RIPK,-0.63,710230602>0.15,-0.0466666666666667
CAMK1,0.53,710230602>0.15,0.7091666666666666
STKR,-0.47,710230602>0.15,0.21166666666666667
ATR,-0.43,710230602>0.15,-0.24583333333333332
CAMK2,-0.41,710230602>0.15,-0.37416666666666665
NDR,0.39,710230602>0.15,0.11416666666666665
VRK1,0.39,710230602>0.15,0.16583333333333336
COT,0.38,710230602>0.15,0.004166666666666688
MLCK,0.34,710230602>0.15,0.8025
PHK,0.27,710230602>0.15,0.06833333333333333
RAF,0.26,710230602>0.15,0.15583333333333332
MELK,-0.24,710230602>0.15,0.23083333333333333
AUR,0.24,710230602>0.15,-0.09000000000000001
PKCD,0.16,710230602>0.15,-0.49000000000000005
CHK1,0.15,710230602>0.15,-0.09833333333333333
MLK,-0.15,710230602>0.15,-0.31583333333333335
HAL,-0.03,710230602>0.15,0.16416666666666668
NMO,-3.23,710230602>0.2,-2.8433333333333333
DYRK,-3.21,710230602>0.2,-2.8608333333333333
STE7,-2.42,710230602>0.2,-2.495
PLK,-2.32,710230602>0.2,-2.005
JNK,-2.3,710230602>0.2,-1.7958333333333334
ERK,-2.29,710230602>0.2,-1.8916666666666666
PIM,2.24,710230602>0.2,1.5191666666666668
PAKA,2.24,710230602>0.2,2.0233333333333334
RAD53,2.19,710230602>0.2,1.6533333333333333
DMPK,2.19,710230602>0.2,2.195
CK2,-2.01,710230602>0.2,-1.5308333333333333
ATM,-1.95,710230602>0.2,-1.065
LKB,-1.95,710230602>0.2,-1.5358333333333334
CDK,-1.83,710230602>0.2,-1.4175
